city,year,population
iq,2022,484000
iq,2021,477000
iq,2020,470000
iq,2019,462000
iq,2018,455000
iq,2017,447000
iq,2016,438000
iq,2015,430000
iq,2014,422000
iq,2013,414000
iq,2012,406000
iq,2011,398000
iq,2010,391000
iq,2009,383000
iq,2008,376000
iq,2007,369000
iq,2006,361000
iq,2005,353000
iq,2004,346000
iq,2003,339000
iq,2002,332000
iq,2001,325000
iq,2000,318000
iq,1999,312000
iq,1998,305000
iq,1997,299000
iq,1996,292000
iq,1995,286000
iq,1994,280000
iq,1993,274000
iq,1992,265000
iq,1991,256000
iq,1990,247000
iq,1989,238000
iq,1988,229000
iq,1987,221000
iq,1986,214000
iq,1985,206000
